MOVIE_ID,PROVIDER,TITLE,PUBLISH TIME,DB ENTRY TIME,URL 
84,CinemaBlend,Wait Even Showing A Hookah Is An Automatic R Rating  Here s What Lin Manuel Miranda Says,Fri Jun 28 2019 03:56:19 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475761/wait-even-showing-a-hookah-is-an-automatic-r-rating-heres-what-lin-manuel-miranda-says
85,CinemaBlend,Bill And Ted Face The Music An Updated Cast List,Fri Jun 28 2019 02:55:46 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475755/bill-and-ted-face-the-music-an-updated-cast-list
86,CinemaBlend,Anthony Mackie Sent A Bold E Mail To Marvel Before Landing His Falcon Role,Fri Jun 28 2019 02:09:46 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475757/anthony-mackie-sent-a-bold-e-mail-to-marvel-before-landing-falcon
87,CinemaBlend,Daisy Ridley Calls The Rise Of Skywalker s Ending  Epic,Fri Jun 28 2019 01:10:17 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475751/daisy-ridley-calls-the-rise-of-skywalkers-ending-epic
88,CinemaBlend,Henry Cavill Set To Play Yet Another New Take On Sherlock Holmes,Fri Jun 28 2019 00:38:40 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475753/henry-cavill-set-to-play-yet-another-new-take-on-sherlock-holmes
89,Metacritic,Ophelia,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/ophelia 
90,Metacritic,The Plagiarists,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/the-plagiarists 
91,Metacritic,Killers Anonymous,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/killers-anonymous 
92,Metacritic,Euphoria,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/euphoria 
93,Metacritic,The Other Story,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/the-other-story 
94,Metacritic,Three Peaks,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/three-peaks 
95,Metacritic,Maiden,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/maiden 
96,Metacritic,Yesterday,Fri Jun 28 2019 00:00:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:47 GMT+0200 (Central European Summer Time), https://www.metacritic.com/movie/yesterday 
97,CinemaBlend,Robert Downey Jr  Wants Avengers: Endgame’s Re Release To Topple Avatar’s Record,Thu Jun 27 2019 23:28:37 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475746/robert-downey-jr-wants-avengers-endgames-re-release-to-topple-avatars-record
98,CinemaBlend,Toy Story Vs  Toy Story 4: How Pixar s Animation Has Changed Over The Last 24 Years,Thu Jun 27 2019 23:21:07 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475686/toy-story-vs-toy-story-4-how-pixars-animation-has-changed-over-the-last-24-years
99,CinemaBlend,See The Crazy Way Tom Holland Drinks While In The Spider Man Suit,Thu Jun 27 2019 23:04:51 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475731/see-the-crazy-way-tom-holland-drinks-while-in-the-spider-man-suit
100,CinemaBlend,New Lion King Clip Shows Rafiki Trying To Inspire Simba,Thu Jun 27 2019 22:59:57 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475742/new-lion-king-clip-shows-rafiki-trying-to-inspire-simba
101,CinemaBlend,Check Out What Fox s Scrapped Mouse Guard Movie Could Have Looked Like,Thu Jun 27 2019 22:58:13 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475741/check-out-what-foxs-scrapped-mouse-guard-movie-could-have-looked-like
102,CinemaBlend,New DVD Releases June 2019: All The Latest Movies And TV Shows,Thu Jun 27 2019 22:51:40 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475738/new-dvd-releases-june-2019-all-the-latest-movies-and-tv-shows
103,CinemaBlend,Watch Paul Rudd Confirm Joining The New Ghostbusters Movie,Thu Jun 27 2019 22:30:28 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:47:07 GMT+0200 (Central European Summer Time),https://www.cinemablend.com/news/2475737/watch-paul-rudd-confirm-joining-the-new-ghostbusters-movie
104,Boollywood,Dabangg 3: Salman Khan reveals Vinod Khanna s brother Pramod Khanna will essay the role of Prajapati Pandey,Thu Jun 27 2019 15:27:41 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/dabangg-3-salman-khan-reveals-vinod-khannas-brother-pramod-khanna-will-essay-role-prajapati-pandey/
105,Boollywood,Mallika Sherawat clears the air on being married and what happened in 2018 in Paris,Thu Jun 27 2019 15:07:48 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/mallika-sherawat-clears-air-married-happened-2018-paris/
106,Boollywood,Ananya Panday spills her secret mantra for striking a balance on and off screen,Thu Jun 27 2019 14:12:28 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/ananya-panday-spills-secret-mantra-striking-balance-off-screen/
107,Boollywood,Dabangg 3: Salman Khan to groove to the beats of  Seeti  with several policemen,Thu Jun 27 2019 13:24:01 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/dabangg-3-salman-khan-groove-beats-seeti-several-policemen/
108,Boollywood,ME TOO: Tanushree Dutta   Nana Patekar case gets a new twist as the actress fails to appear in front of Women’s Commission!,Thu Jun 27 2019 09:20:10 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/tanushree-dutta-nana-patekar-case-gets-new-twist-actress-fails-appear-front-womens-commission/
109,Boollywood,’83: Tahir Raj Bhasin goes the extra mile by putting in 2 hours extra to become Gavaskar!,Thu Jun 27 2019 08:15:48 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/83-tahir-raj-bhasin-goes-extra-mile-putting-2-hours-extra-become-gavaskar/
110,Boollywood,Article 15 director Anubhav Sinha pens an open letter to Karni Sena after the film being called anti brahmin,Thu Jun 27 2019 08:15:34 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/article-15-director-anubhav-sinha-pens-open-letter-karni-sena-film-called-anti-brahmin/
111,Boollywood,Zoya Akhtar to take Ranveer Singh and Alia Bhatt starrer Gully Boy to the Indian Film Festival of Melbourne 2019,Thu Jun 27 2019 07:55:40 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/zoya-akhtar-take-ranveer-singh-alia-bhatt-starrer-gully-boy-indian-film-festival-melbourne-2019/
112,Boollywood,Abhinay Deo announces his next project titled Doosra with an intriguing poster,Thu Jun 27 2019 07:23:42 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/abhinay-deo-announces-next-project-titled-doosra-intriguing-poster/
113,Boollywood,Khandani Shafakhana: Diana Penty to groove on the recreated version of Suniel Shetty   Raveena Tandon s iconic song  Shehar Ki Ladki,Thu Jun 27 2019 06:39:27 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/khandani-shafakhana-diana-penty-groove-recreated-version-suniel-shetty-raveena-tandons-iconic-song-shehar-ki-ladki/
114,Boollywood,CONFIRMED: After Raazi Vicky Kaushal roped in for Meghna Gulzar’s Field Marshal Sam Manekshaw biopic,Thu Jun 27 2019 05:35:17 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/confirmed-raazi-vicky-kaushal-roped-meghna-gulzars-field-marshal-sam-manekshaw-biopic/
115,Boollywood,CONFIRMED: Kartik Aaryan and Janhvi Kapoor roped in for Dostana 2 Karan Johar to introduce a male debutante,Thu Jun 27 2019 04:30:59 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/confirmed-kartik-aaryan-janhvi-kapoor-roped-dostana-2-karan-johar-introduce-male-debutante/
116,Boollywood,Lyricist Manoj Muntashir pens song for debutant Mohd Kalam,Wed Jun 26 2019 16:09:01 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/lyricist-manoj-muntashir-pens-song-debutant-mohd-kalam/
117,Boollywood,Rajkumar Hirani directorial Sanju gets screened at Shanghai International Film Festival,Wed Jun 26 2019 14:06:27 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/rajkumar-hirani-directorial-sanju-gets-screened-shanghai-international-film-festival/
